area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
M55i Van der Kunbuurt,152.0,33.0,40.0,25.0,5.0,42.0,1.0,298.0,5,56.78092874867068,686.1715503260006,0.028205106256177986,2821.0
M56a Linnaeusparkbuurt,590.0,139.0,172.0,166.0,110.0,84.0,24.0,1285.0,5,94.61446453407511,743.2355748821717,0.021700374113362727,3595.0
M56b Middenmeer Noord,441.0,178.0,118.0,263.0,148.0,128.0,22.0,1298.0,5,96.44215349369989,745.1004397470366,0.021149882233711413,3492.0
M56c Middenmeer Zuid,960.0,249.0,313.0,381.0,259.0,235.0,42.0,2439.0,5,81.14833438089252,663.8141633377235,0.024337029474085465,3182.0
M56d Sportpark Middenmeer Zuid,95.0,39.0,13.0,12.0,10.0,6.0,4.0,179.0,5,96.02784072515377,540.0603128299463,0.02880178788239036,3089.0
M56e Sportpark Middenmeer Noord,523.3676148796499,93.62700228832952,1.0,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,899.8534842896654,5,83.57613884316903,579.4145704302772,0.026303146558966154,3125.301047120419
M56f Park De Meer,244.0,126.0,55.0,176.0,49.0,75.0,7.0,732.0,5,114.21401515151516,415.5189450425052,0.03256448626095271,3168.0
M56g Sportpark Voorland,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,472.974447867118,0.02942776674506862,3125.301047120419
M56h Science Park Noord,1239.0,52.0,319.0,73.0,39.0,20.0,32.0,1774.0,5,49.45240858966918,689.9064666761002,0.020649460779880578,3446.0
M56i Science Park Zuid,20.0,2.0,5.0,1.0,1.0,2.0,15.697732997481108,46.69773299748111,5,83.57613884316903,550.2827660523996,0.02297686359448943,3125.301047120419
M57a Betondorp,1177.0,251.0,144.0,132.0,66.0,206.0,10.0,1986.0,5,60.183766233766235,330.46739449880806,0.03546248447743415,3080.0
M57b Nieuwe Oosterbegraafplaats,2.0,93.62700228832952,117.13073394495413,1.0,50.81190476190476,95.27446300715991,15.697732997481108,375.54183699982946,5,83.57613884316903,472.32955448400475,0.03230684919656823,3125.301047120419
M57c Drieburg,523.3676148796499,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,1015.9842182346197,5,83.57613884316903,343.1050222594725,0.03610118703034116,3125.301047120419
